Job_Role,Pay,Location,State,Submit_Date,Submit_Date_Mo,Submit_Date_Yr,Hire_Date,Hire_Date_Mo,Hire_Date_Yr
ASSOCIATE BUSINESS INTELLIGENCE ANALYST  ,76000,SUNNYVALE CA,CA,02/15/2018,02,2018,07/24/2018,07,2018
ASSOCIATE PRINCIPAL TRUST & SAFETY ,157000,SUNNYVALE CA,CA,03/23/2018,03,2018,09/22/2018,09,2018
ASSOCIATE PRODUCT MANAGER ,120000,MOUNTAIN VIEW CA,CA,02/08/2018,02,2018,08/08/2018,08,2018
ASSOCIATE PRODUCT MARKETING MANAGER ,95000,MOUNTAIN VIEW CA,CA,02/01/2018,02,2018,07/31/2018,07,2018
ASSOCIATE PRODUCT MARKETING MANAGER ,91000,MOUNTAIN VIEW CA,CA,03/09/2018,03,2018,08/09/2018,08,2018
ASSOCIATE PRODUCT MARKETING MANAGER ,91000,MOUNTAIN VIEW CA,CA,01/24/2018,01,2018,07/17/2018,07,2018
ASSOCIATE PRODUCT MARKETING MANAGER ,91000,MOUNTAIN VIEW CA,CA,01/26/2018,01,2018,07/25/2018,07,2018
ASSOCIATE PRODUCT MARKETING MANAGER ,98000,MOUNTAIN VIEW CA,CA,09/20/2018,09,2018,09/27/2018,09,2018
ASSOCIATE SALES OPERATION LEAD ,142000,AUSTIN TX,TX,05/07/2018,05,2018,10/01/2018,10,2018
AUDIO HARDWARE ENGINEER ,166800,MOUNTAIN VIEW CA,CA,07/30/2018,07,2018,11/12/2018,11,2018
AUDIT MANAGER ,170000,SUNNYVALE CA,CA,01/23/2018,01,2018,07/20/2018,07,2018
AUDITOR ,86500,SUNNYVALE CA,CA,03/22/2018,03,2018,03/26/2018,03,2018
AUDITOR ,145000,SUNNYVALE CA,CA,03/14/2018,03,2018,03/16/2018,03,2018
AUDITOR ,85500,SUNNYVALE CA,CA,04/20/2018,04,2018,04/23/2018,04,2018
BUSINESS ANALYST ,108000,MOUNTAIN VIEW CA,CA,01/02/2018,01,2018,01/09/2018,01,2018
BUSINESS ANALYST ,130000,MOUNTAIN VIEW CA,CA,03/01/2018,03,2018,03/08/2018,03,2018
BUSINESS ANALYST ,140000,SUNNYVALE CA,CA,03/16/2018,03,2018,03/26/2018,03,2018
BUSINESS ANALYST ,120000,MOUNTAIN VIEW CA,CA,07/03/2018,07,2018,07/16/2018,07,2018
BUSINESS ANALYST ,138000,MOUNTAIN VIEW CA,CA,08/31/2018,08,2018,10/01/2018,10,2018
BUSINESS ANALYST ,112000,MOUNTAIN VIEW CA,CA,01/10/2018,01,2018,07/09/2018,07,2018
BUSINESS ANALYST ,123000,MOUNTAIN VIEW CA,CA,07/25/2018,07,2018,10/15/2018,10,2018
BUSINESS ANALYST ,126000,MOUNTAIN VIEW CA,CA,11/08/2018,11,2018,04/20/2019,04,2019
BUSINESS ANALYST ,126000,PALO ALTO CA,CA,01/31/2018,01,2018,07/25/2018,07,2018
BUSINESS ANALYST ,107000,MOUNTAIN VIEW CA,CA,08/31/2018,08,2018,09/24/2018,09,2018
BUSINESS ANALYST ,107000,MOUNTAIN VIEW CA,CA,08/31/2018,08,2018,09/24/2018,09,2018
BUSINESS ANALYST ,155000,MOUNTAIN VIEW CA,CA,02/12/2018,02,2018,08/12/2018,08,2018
BUSINESS ANALYST ,136000,MOUNTAIN VIEW CA,CA,08/31/2018,08,2018,02/08/2019,02,2019
BUSINESS ANALYST ,108000,MOUNTAIN VIEW CA,CA,02/01/2018,02,2018,02/08/2018,02,2018
BUSINESS ANALYST ,146000,MOUNTAIN VIEW CA,CA,02/06/2018,02,2018,02/13/2018,02,2018
BUSINESS ANALYST ,110000,MOUNTAIN VIEW CA,CA,02/05/2018,02,2018,08/07/2018,08,2018
BUSINESS ANALYST ,112000,MOUNTAIN VIEW CA,CA,03/16/2018,03,2018,08/16/2018,08,2018
BUSINESS ANALYST ,125000,MOUNTAIN VIEW CA,CA,05/08/2018,05,2018,05/15/2018,05,2018
BUSINESS ANALYST ,170000,MOUNTAIN VIEW CA,CA,07/06/2018,07,2018,07/13/2018,07,2018
BUSINESS ANALYST ,113000,MOUNTAIN VIEW CA,CA,07/24/2018,07,2018,07/30/2018,07,2018
BUSINESS ANALYST ,170000,MOUNTAIN VIEW CA,CA,11/05/2018,11,2018,11/12/2018,11,2018
BUSINESS ANALYST ,145000,MOUNTAIN VIEW CA,CA,11/07/2018,11,2018,11/14/2018,11,2018
BUSINESS COMPLIANCE SPECIALIST ,120000,MOUNTAIN VIEW CA,CA,02/19/2018,02,2018,02/23/2018,02,2018
BUSINESS COMPLIANCE SPECIALIST ,117000,SAN BRUNO CA,CA,07/26/2018,07,2018,08/06/2018,08,2018
BUSINESS INTELLIGENCE ANALYST ,116209,MOUNTAIN VIEW CA,CA,06/11/2018,06,2018,10/01/2018,10,2018
BUSINESS INTELLIGENCE ANALYST ,98000,SUNNYVALE CA,CA,03/14/2018,03,2018,09/10/2018,09,2018
BUSINESS INTELLIGENCE ANALYST ,98000,MOUNTAIN VIEW CA,CA,03/14/2018,03,2018,09/10/2018,09,2018
BUSINESS INTELLIGENCE ANALYST ,142000,SUNNYVALE CA,CA,01/08/2018,01,2018,03/30/2018,03,2018
BUSINESS INTELLIGENCE ANALYST ,137000,SUNNYVALE CA,CA,08/23/2018,08,2018,01/11/2019,01,2019
BUSINESS INTELLIGENCE ANALYST ,86500,CHICAGO IL,IL,04/10/2018,04,2018,04/17/2018,04,2018
BUSINESS INTELLIGENCE ANALYST ,86500,CHICAGO IL,IL,05/22/2018,05,2018,05/29/2018,05,2018
BUSINESS INTELLIGENCE ANALYST ,108000,MOUNTAIN VIEW CA,CA,10/03/2018,10,2018,10/09/2018,10,2018
BUSINESS INTELLIGENCE DATA ANALYST ,114500,SUNNYVALE CA,CA,02/07/2018,02,2018,07/22/2018,07,2018
BUSINESS OPERATIONS AND STRATEGY ASSOCIATE ,126000,SUNNYVALE CA,CA,03/08/2018,03,2018,08/30/2018,08,2018
BUSINESS OPERATIONS ASSOCIATE ,146000,MOUNTAIN VIEW CA,CA,02/01/2018,02,2018,07/24/2018,07,2018
BUSINESS OPERATIONS ASSOCIATE ,122500,MOUNTAIN VIEW CA,CA,03/14/2018,03,2018,09/13/2018,09,2018
BUSINESS OPERATIONS ASSOCIATE ,122500,MOUNTAIN VIEW CA,CA,01/18/2018,01,2018,07/09/2018,07,2018
BUSINESS OPERATIONS ASSOCIATE ,125000,MOUNTAIN VIEW CA,CA,02/06/2018,02,2018,08/04/2018,08,2018
BUSINESS OPERATIONS ASSOCIATE ,125000,MOUNTAIN VIEW CA,CA,02/08/2018,02,2018,08/06/2018,08,2018
BUSINESS OPERATIONS ASSOCIATE ,135000,MOUNTAIN VIEW CA,CA,08/28/2018,08,2018,09/04/2018,09,2018
BUSINESS OPERATIONS ASSOCIATE ,165000,MOUNTAIN VIEW CA,CA,04/04/2018,04,2018,08/13/2018,08,2018
BUSINESS OPERATIONS ASSOCIATE ,142000,MOUNTAIN VIEW CA,CA,11/16/2018,11,2018,12/13/2018,12,2018
BUSINESS OPERATIONS PROGRAM MANAGER ,129000,SUNNYVALE CA,CA,06/12/2018,06,2018,06/18/2018,06,2018
BUSINESS SYSTEMS ANALYST,157000,SUNNYVALE CA,CA,08/09/2018,08,2018,11/23/2018,11,2018
BUSINESS SYSTEMS ANALYST  ,150000,SUNNYVALE CA,CA,07/17/2018,07,2018,07/18/2018,07,2018
BUSINESS SYSTEMS ANALYST  ,150000,SUNNYVALE CA,CA,07/11/2018,07,2018,07/18/2018,07,2018
BUSINESS SYSTEMS ANALYST ,151000,SUNNYVALE CA,CA,04/09/2018,04,2018,09/28/2018,09,2018
BUSINESS SYSTEMS ANALYST ,155414,SUNNYVALE CA,CA,11/07/2018,11,2018,05/03/2019,05,2019
BUSINESS SYSTEMS ANALYST ,137800,SUNNYVALE CA,CA,04/30/2018,04,2018,08/24/2018,08,2018
BUSINESS SYSTEMS ANALYST ,129000,SUNNYVALE CA,CA,05/02/2018,05,2018,10/01/2018,10,2018
BUSINESS SYSTEMS ANALYST ,115000,MOUNTAIN VIEW CA,CA,02/06/2018,02,2018,02/13/2018,02,2018
BUSINESS SYSTEMS ANALYST ,151000,SUNNYVALE CA,CA,01/09/2018,01,2018,01/16/2018,01,2018
